username,model,chosen_number,reason,reasoning_tokens,finish_reason,elapsed_seconds,succeeded
clumsybassdropper,anthropic/claude-sonnet-5,17,,0,stop,5.315,true
fucksasuke,anthropic/claude-sonnet-5,17,,0,stop,5.189,true
threwnawayed,anthropic/claude-sonnet-5,17,,0,stop,4.951,true
Justin_Bligh,anthropic/claude-sonnet-5,17,,0,stop,5.359,true
AngelKittichik,anthropic/claude-sonnet-5,17,,0,stop,4.830,true
hobbang819,anthropic/claude-sonnet-5,17,,0,stop,5.200,true
thehacksmith,anthropic/claude-sonnet-5,17,,0,stop,4.984,true
thirdangletheory,anthropic/claude-sonnet-5,17,,0,stop,4.809,true
nowalkietalkies,anthropic/claude-sonnet-5,17,,0,stop,5.177,true
bezimya74,anthropic/claude-sonnet-5,19,,0,stop,5.066,true
rednaxela26,anthropic/claude-sonnet-5,17,,0,stop,5.006,true
EnergizedNuke,anthropic/claude-sonnet-5,17,,0,stop,5.191,true
OUScotty,anthropic/claude-sonnet-5,19,,0,stop,4.998,true
Ares9719,anthropic/claude-sonnet-5,17,,0,stop,4.952,true
nothing-feels-good,anthropic/claude-sonnet-5,17,,0,stop,5.563,true
catholicismisascam,anthropic/claude-sonnet-5,17,,0,stop,5.208,true
ca_devotee,anthropic/claude-sonnet-5,17,,0,stop,5.353,true
Jibzzy,anthropic/claude-sonnet-5,19,,0,stop,5.342,true
kanahl,anthropic/claude-sonnet-5,17,,0,stop,5.320,true
Camcongab,anthropic/claude-sonnet-5,17,,0,stop,5.515,true
