username,model,chosen_number,reason,reasoning_tokens,finish_reason,elapsed_seconds,succeeded
clumsybassdropper,anthropic/claude-sonnet-5,39,,0,stop,3.685,true
fucksasuke,anthropic/claude-sonnet-5,39,,0,stop,3.151,true
threwnawayed,anthropic/claude-sonnet-5,39,,0,stop,2.978,true
Justin_Bligh,anthropic/claude-sonnet-5,39,,0,stop,3.249,true
AngelKittichik,anthropic/claude-sonnet-5,39,,0,stop,3.230,true
hobbang819,anthropic/claude-sonnet-5,39,,0,stop,3.210,true
thehacksmith,anthropic/claude-sonnet-5,39,,0,stop,3.302,true
thirdangletheory,anthropic/claude-sonnet-5,39,,0,stop,2.979,true
nowalkietalkies,anthropic/claude-sonnet-5,39,,0,stop,2.990,true
bezimya74,anthropic/claude-sonnet-5,39,,0,stop,3.174,true
rednaxela26,anthropic/claude-sonnet-5,39,,0,stop,3.718,true
EnergizedNuke,anthropic/claude-sonnet-5,39,,0,stop,2.923,true
OUScotty,anthropic/claude-sonnet-5,39,,0,stop,2.940,true
Ares9719,anthropic/claude-sonnet-5,39,,0,stop,2.981,true
nothing-feels-good,anthropic/claude-sonnet-5,39,,0,stop,2.949,true
catholicismisascam,anthropic/claude-sonnet-5,39,,0,stop,3.164,true
ca_devotee,anthropic/claude-sonnet-5,39,,0,stop,3.588,true
Jibzzy,anthropic/claude-sonnet-5,39,,0,stop,3.398,true
kanahl,anthropic/claude-sonnet-5,39,,0,stop,3.234,true
Camcongab,anthropic/claude-sonnet-5,39,,0,stop,3.402,true
