username,model,chosen_number,reason,reasoning_tokens,finish_reason,elapsed_seconds,succeeded
clumsybassdropper,anthropic/claude-sonnet-5,17,,0,stop,3.137,true
fucksasuke,anthropic/claude-sonnet-5,19,,0,stop,2.990,true
threwnawayed,anthropic/claude-sonnet-5,17,,0,stop,3.055,true
Justin_Bligh,anthropic/claude-sonnet-5,17,,0,stop,3.485,true
AngelKittichik,anthropic/claude-sonnet-5,17,,0,stop,2.959,true
hobbang819,anthropic/claude-sonnet-5,17,,0,stop,3.044,true
thehacksmith,anthropic/claude-sonnet-5,17,,0,stop,3.486,true
thirdangletheory,anthropic/claude-sonnet-5,17,,0,stop,3.154,true
nowalkietalkies,anthropic/claude-sonnet-5,17,,0,stop,3.222,true
bezimya74,anthropic/claude-sonnet-5,17,,0,stop,2.952,true
rednaxela26,anthropic/claude-sonnet-5,17,,0,stop,3.064,true
EnergizedNuke,anthropic/claude-sonnet-5,17,,0,stop,3.210,true
OUScotty,anthropic/claude-sonnet-5,17,,0,stop,3.085,true
Ares9719,anthropic/claude-sonnet-5,17,,0,stop,3.108,true
nothing-feels-good,anthropic/claude-sonnet-5,19,,0,stop,2.959,true
catholicismisascam,anthropic/claude-sonnet-5,19,,0,stop,2.865,true
ca_devotee,anthropic/claude-sonnet-5,17,,0,stop,3.281,true
Jibzzy,anthropic/claude-sonnet-5,19,,0,stop,3.447,true
kanahl,anthropic/claude-sonnet-5,17,,0,stop,3.331,true
Camcongab,anthropic/claude-sonnet-5,17,,0,stop,3.292,true
