username,model,chosen_number,reason,reasoning_tokens,finish_reason,elapsed_seconds,succeeded
clumsybassdropper,anthropic/claude-sonnet-5,17,,0,stop,11.609,true
fucksasuke,anthropic/claude-sonnet-5,17,,0,stop,6.870,true
threwnawayed,anthropic/claude-sonnet-5,17,,0,stop,6.594,true
Justin_Bligh,anthropic/claude-sonnet-5,17,"I tend to think through things practically rather than overthink theory - like tuning a scooter, I look for what actually works instead of chasing the 'perfect' textbook answer. Most people's gut instinct in this game is to go straight for 20, so I expect a lot of players to anchor there or drop just slightly below it. I'll aim a bit under the obvious top pick to try to undercut people who go greedy, without going so low that I'm leaving money on the table.",0,stop,9.173,true
AngelKittichik,anthropic/claude-sonnet-5,17,"I'm not a hyper-analytical game theorist, but I do overthink things a bit and like to guess what others expect. Most people's gut instinct is to go straight for 20, so I figure a lot of players will land there or nearby, hoping for the big number. If I go one below the obvious top pick, I might catch people who played it too safe or too greedy. I'm not about to chase the theoretical Nash spiral down to 11 -- that feels overly cautious and not very fun. I'll aim just under where I think the average optimistic guess lands.",0,stop,9.152,true
hobbang819,anthropic/claude-sonnet-5,17,,0,stop,15.509,true
thehacksmith,anthropic/claude-sonnet-5,17,,0,stop,16.249,true
thirdangletheory,anthropic/claude-sonnet-5,17,,0,stop,11.691,true
nowalkietalkies,anthropic/claude-sonnet-5,17,,0,stop,9.015,true
bezimya74,anthropic/claude-sonnet-5,17,,0,stop,12.280,true
rednaxela26,anthropic/claude-sonnet-5,17,,0,stop,8.703,true
EnergizedNuke,anthropic/claude-sonnet-5,17,,0,stop,5.989,true
OUScotty,anthropic/claude-sonnet-5,17,,0,stop,6.880,true
Ares9719,anthropic/claude-sonnet-5,17,,0,stop,6.337,true
nothing-feels-good,anthropic/claude-sonnet-5,17,,0,stop,6.495,true
catholicismisascam,anthropic/claude-sonnet-5,17,"I'm blunt and skeptical of overthinking, but I'm not a pushover either -- I call out nonsense when I see it and I don't just follow the crowd. Most people's gut instinct is to go for 20 thinking big, or spiral into undercutting logic down to 11. I expect the other player to either be greedy and pick 20, or try to be too clever and go low. I'll aim just under the obvious greedy pick to catch someone who goes for the max, without going so low that I'm leaving money on the table if they're not that sharp.",0,stop,9.803,true
ca_devotee,anthropic/claude-sonnet-5,17,"I'm careful and a little practical-minded, not a big risk-taker chasing the max prize -- I'd rather not anchor on 20 since I figure a lot of people will greedily go there or think just one step ahead and pick 19. I like being a step ahead without overthinking into a rabbit hole, so I'll go slightly below the obvious anchor to try to catch people who default to round numbers.",0,stop,8.570,true
Jibzzy,anthropic/claude-sonnet-5,17,,0,stop,6.016,true
kanahl,anthropic/claude-sonnet-5,17,,0,stop,6.761,true
Camcongab,anthropic/claude-sonnet-5,17,,0,stop,8.779,true
