username,model,chosen_number,reason,reasoning_tokens,finish_reason,elapsed_seconds,succeeded
clumsybassdropper,openai/gpt-5.6-luna,39,,0,stop,1.877,true
fucksasuke,openai/gpt-5.6-luna,39,,0,stop,2.002,true
threwnawayed,openai/gpt-5.6-luna,39,,206,stop,5.279,true
Justin_Bligh,openai/gpt-5.6-luna,39,,153,stop,4.017,true
AngelKittichik,openai/gpt-5.6-luna,31,,0,stop,1.793,true
hobbang819,openai/gpt-5.6-luna,39,,293,stop,7.032,true
thehacksmith,openai/gpt-5.6-luna,39,,247,stop,5.823,true
thirdangletheory,openai/gpt-5.6-luna,39,,0,stop,2.055,true
nowalkietalkies,openai/gpt-5.6-luna,39,,0,stop,1.680,true
bezimya74,openai/gpt-5.6-luna,39,,0,stop,1.831,true
rednaxela26,openai/gpt-5.6-luna,39,,337,stop,6.295,true
EnergizedNuke,openai/gpt-5.6-luna,39,,0,stop,1.645,true
OUScotty,openai/gpt-5.6-luna,39,,299,stop,6.482,true
Ares9719,openai/gpt-5.6-luna,39,,288,stop,7.211,true
nothing-feels-good,openai/gpt-5.6-luna,31,,374,stop,6.962,true
catholicismisascam,openai/gpt-5.6-luna,39,,275,stop,6.059,true
ca_devotee,openai/gpt-5.6-luna,39,,220,stop,5.077,true
Jibzzy,openai/gpt-5.6-luna,39,,269,stop,6.077,true
kanahl,openai/gpt-5.6-luna,39,,379,stop,7.516,true
Camcongab,openai/gpt-5.6-luna,39,,323,stop,7.799,true
