username,model,chosen_number,reason,reasoning_tokens,finish_reason,elapsed_seconds,succeeded
clumsybassdropper,openai/gpt-5.6-luna,20,,0,stop,2.175,true
fucksasuke,openai/gpt-5.6-luna,12,,516,stop,10.386,true
threwnawayed,openai/gpt-5.6-luna,12,,1025,stop,15.597,true
Justin_Bligh,openai/gpt-5.6-luna,20,,477,stop,8.492,true
AngelKittichik,openai/gpt-5.6-luna,12,,515,stop,10.787,true
hobbang819,openai/gpt-5.6-luna,11,,482,stop,9.047,true
thehacksmith,openai/gpt-5.6-luna,20,,0,stop,2.078,true
thirdangletheory,openai/gpt-5.6-luna,20,,0,stop,1.704,true
nowalkietalkies,openai/gpt-5.6-luna,20,,0,stop,1.877,true
bezimya74,openai/gpt-5.6-luna,15,,0,stop,1.583,true
rednaxela26,openai/gpt-5.6-luna,11,,815,stop,14.352,true
EnergizedNuke,openai/gpt-5.6-luna,20,,1114,stop,16.363,true
OUScotty,openai/gpt-5.6-luna,20,,0,stop,2.517,true
Ares9719,openai/gpt-5.6-luna,20,,0,stop,2.048,true
nothing-feels-good,openai/gpt-5.6-luna,12,,771,stop,17.729,true
catholicismisascam,openai/gpt-5.6-luna,12,,689,stop,10.404,true
ca_devotee,openai/gpt-5.6-luna,20,,950,stop,14.832,true
Jibzzy,openai/gpt-5.6-luna,19,,1034,stop,15.911,true
kanahl,openai/gpt-5.6-luna,12,,516,stop,9.319,true
Camcongab,openai/gpt-5.6-luna,12,,305,stop,8.506,true
