username,model,chosen_number,reason,reasoning_tokens,finish_reason,elapsed_seconds,succeeded
clumsybassdropper,openai/gpt-oss-20b,15,,51,stop,,true
fucksasuke,openai/gpt-oss-20b,15,,48,stop,,true
threwnawayed,openai/gpt-oss-20b,15,,48,stop,,true
Justin_Bligh,openai/gpt-oss-20b,15,,48,stop,,true
AngelKittichik,openai/gpt-oss-20b,15,,48,stop,,true
hobbang819,openai/gpt-oss-20b,19,,89,stop,3.8207996020009887,true
thehacksmith,openai/gpt-oss-20b,15,,51,stop,3.1043982379997033,true
thirdangletheory,openai/gpt-oss-20b,15,,51,stop,3.301336344000447,true
nowalkietalkies,openai/gpt-oss-20b,15,,51,stop,3.4580077969985723,true
bezimya74,openai/gpt-oss-20b,15,,51,stop,3.61110612199991,true
rednaxela26,openai/gpt-oss-20b,17,,48,stop,3.424056825999287,true
EnergizedNuke,openai/gpt-oss-20b,17,,48,stop,3.386145762999149,true
OUScotty,openai/gpt-oss-20b,19,,75,stop,4.068939352999223,true
Ares9719,openai/gpt-oss-20b,20,,70,stop,3.9135508239996852,true
nothing-feels-good,openai/gpt-oss-20b,19,,75,stop,4.078647950998857,true
catholicismisascam,openai/gpt-oss-20b,15,,47,stop,3.7078423149996524,true
ca_devotee,openai/gpt-oss-20b,15,,48,stop,3.6520915889996104,true
Jibzzy,openai/gpt-oss-20b,12,,123,stop,4.909359309998763,true
kanahl,openai/gpt-oss-20b,15,,48,stop,3.6119253010001557,true
Camcongab,openai/gpt-oss-20b,20,,77,stop,4.178538226000455,true
