username,model,chosen_number,succeeded,finish_reason
clumsybassdropper,openai/gpt-oss-20b,19,True,stop
fucksasuke,openai/gpt-oss-20b,19,True,stop
threwnawayed,openai/gpt-oss-20b,15,True,stop
Justin_Bligh,openai/gpt-oss-20b,15,True,stop
AngelKittichik,openai/gpt-oss-20b,12,True,stop
hobbang819,openai/gpt-oss-20b,20,True,stop
thehacksmith,openai/gpt-oss-20b,19,True,stop
thirdangletheory,openai/gpt-oss-20b,11,True,stop
nowalkietalkies,openai/gpt-oss-20b,11,True,stop
bezimya74,openai/gpt-oss-20b,19,True,stop
rednaxela26,openai/gpt-oss-20b,15,True,stop
EnergizedNuke,openai/gpt-oss-20b,20,True,stop
clumsybassdropper,google/gemma-4-26b-a4b,19,True,stop
fucksasuke,google/gemma-4-26b-a4b,19,True,stop
threwnawayed,google/gemma-4-26b-a4b,19,True,stop
Justin_Bligh,google/gemma-4-26b-a4b,19,True,stop
AngelKittichik,google/gemma-4-26b-a4b,19,True,stop
hobbang819,google/gemma-4-26b-a4b,19,True,stop
thehacksmith,google/gemma-4-26b-a4b,19,True,stop
thirdangletheory,google/gemma-4-26b-a4b,19,True,stop
nowalkietalkies,google/gemma-4-26b-a4b,19,True,stop
bezimya74,google/gemma-4-26b-a4b,19,True,stop
rednaxela26,google/gemma-4-26b-a4b,19,True,stop
EnergizedNuke,google/gemma-4-26b-a4b,19,True,stop
clumsybassdropper,qwen/qwen3.6-35b-a3b,12,True,stop
fucksasuke,qwen/qwen3.6-35b-a3b,11,True,stop
threwnawayed,qwen/qwen3.6-35b-a3b,11,True,stop
Justin_Bligh,qwen/qwen3.6-35b-a3b,11,True,stop
AngelKittichik,qwen/qwen3.6-35b-a3b,11,True,stop
hobbang819,qwen/qwen3.6-35b-a3b,11,True,stop
thehacksmith,qwen/qwen3.6-35b-a3b,15,True,stop
thirdangletheory,qwen/qwen3.6-35b-a3b,11,True,stop
nowalkietalkies,qwen/qwen3.6-35b-a3b,11,True,stop
bezimya74,qwen/qwen3.6-35b-a3b,12,True,stop
rednaxela26,qwen/qwen3.6-35b-a3b,11,True,stop
EnergizedNuke,qwen/qwen3.6-35b-a3b,11,True,stop
