run_number,model,chosen_number,succeeded,finish_reason
1,openai/gpt-oss-20b,11,True,stop
2,openai/gpt-oss-20b,11,True,stop
3,openai/gpt-oss-20b,11,True,stop
4,openai/gpt-oss-20b,19,True,stop
5,openai/gpt-oss-20b,19,True,stop
6,openai/gpt-oss-20b,19,True,stop
7,openai/gpt-oss-20b,19,True,stop
8,openai/gpt-oss-20b,19,True,stop
9,openai/gpt-oss-20b,19,True,stop
10,openai/gpt-oss-20b,19,True,stop
11,openai/gpt-oss-20b,19,True,stop
12,openai/gpt-oss-20b,19,True,stop
1,google/gemma-4-26b-a4b,,False,length
2,google/gemma-4-26b-a4b,,False,length
3,google/gemma-4-26b-a4b,,False,length
4,google/gemma-4-26b-a4b,,False,aborted_3_consecutive_failures
5,google/gemma-4-26b-a4b,,False,aborted_3_consecutive_failures
6,google/gemma-4-26b-a4b,,False,aborted_3_consecutive_failures
7,google/gemma-4-26b-a4b,,False,aborted_3_consecutive_failures
8,google/gemma-4-26b-a4b,,False,aborted_3_consecutive_failures
9,google/gemma-4-26b-a4b,,False,aborted_3_consecutive_failures
10,google/gemma-4-26b-a4b,,False,aborted_3_consecutive_failures
11,google/gemma-4-26b-a4b,,False,aborted_3_consecutive_failures
12,google/gemma-4-26b-a4b,,False,aborted_3_consecutive_failures
1,qwen/qwen3.6-35b-a3b,15,True,stop
2,qwen/qwen3.6-35b-a3b,11,True,stop
3,qwen/qwen3.6-35b-a3b,15,True,stop
4,qwen/qwen3.6-35b-a3b,11,True,stop
5,qwen/qwen3.6-35b-a3b,11,True,stop
6,qwen/qwen3.6-35b-a3b,11,True,stop
7,qwen/qwen3.6-35b-a3b,11,True,stop
8,qwen/qwen3.6-35b-a3b,11,True,stop
9,qwen/qwen3.6-35b-a3b,11,True,stop
10,qwen/qwen3.6-35b-a3b,11,True,stop
11,qwen/qwen3.6-35b-a3b,11,True,stop
12,qwen/qwen3.6-35b-a3b,19,True,stop
