username,comment_count,submission_count,total_activity
Mispelled-This,-1,-1,-2
Exciting-Cell-7702,-1,-1,-2
Ihaveamodel3,-1,-1,-2
Stargazerr8,-1,-1,-2
Disastrous-Bike659,-1,-1,-2
MiguelIstNeugierig,-1,-1,-2
circusvetsara,-1,-1,-2
Doogiemon,-1,-1,-2
Werewolfdad,-1,-1,-2
NeverAgainMeansNever,-1,-1,-2
ksuwildkat,-1,-1,-2
nofilter144,-1,-1,-2
MiserableAd2878,-1,-1,-2
FlyTying101,-1,-1,-2
Efficient-Try-299,-1,-1,-2
TuneSoft7119,-1,-1,-2
Rockthejokeboat,-1,-1,-2
iminabearsuit,-1,-1,-2
freekicker_,-1,-1,-2
KevWill,-1,-1,-2
rAntW,-1,-1,-2
Lost-Rice-945,-1,-1,-2
Softbombsalad,-1,-1,-2
updownclown68,-1,-1,-2
Curious-Marsupial-41,-1,-1,-2
CreeDorofl,-1,-1,-2
SeeingSound2991,-1,-1,-2
Vivid_Pianist4270,-1,-1,-2
Classic_Button777,-1,-1,-2
MidorBird,-1,-1,-2
S1r_n0b0dy,-1,-1,-2
sittingonthetoilet13,-1,-1,-2
DeDobber,-1,-1,-2
HelloFromWisco,-1,-1,-2
nickcash,-1,-1,-2
TerribleLeg4777,-1,-1,-2
Haz_Bat_570,-1,-1,-2
Equivalent-Screen-89,-1,-1,-2
jjkitty2001,-1,-1,-2
James_099,-1,-1,-2
BackgroundPlay562,-1,-1,-2
fren2allcheezes,-1,-1,-2
Top_Initiative_754,-1,-1,-2
myersm1993,-1,-1,-2
velvetrevolting,-1,-1,-2
DavidinCT,-1,-1,-2
misscatlady,-1,-1,-2
pimple-pop,-1,-1,-2
MomG0neWild,-1,-1,-2
geekishly,-1,-1,-2
bjornodinnson,-1,-1,-2
Soranhirani,-1,-1,-2
Yuna1989,-1,-1,-2
Salty-Ad9117,-1,-1,-2
Danovale,-1,-1,-2
Expensive-Draw-6897,-1,-1,-2
awesome-ekeler,-1,-1,-2
SnuffShock,-1,-1,-2
Fast_Veterinarian719,-1,-1,-2
Emperor-Universe,-1,-1,-2
LeatherRebel5150,-1,-1,-2
weluckyfew,-1,-1,-2
SyrupVisual9036,-1,-1,-2
Healthy-Brilliant549,-1,-1,-2
Learningstuff247,-1,-1,-2
rxtech24,-1,-1,-2
amr1412010,-1,-1,-2
_leafy_sea_dragon_,-1,-1,-2
FizzySpew,-1,-1,-2
Dog_On_Train2,-1,-1,-2
Hrekires,-1,-1,-2
Charleston2Seattle,-1,-1,-2
DinkandDrunk,-1,-1,-2
JohanMcdougal,-1,-1,-2
sapian-sapian,-1,-1,-2
Sharkbait_ooohaha,-1,-1,-2
dreamcastchalmers,-1,-1,-2
pdonoso,-1,-1,-2
MushroomHead1217,-1,-1,-2
lessmiserables,-1,-1,-2
Upright_Eeyore,-1,-1,-2
AbbyTheConqueror,-1,-1,-2
Hobo_Drifter,-1,-1,-2
No_Seat8357,-1,-1,-2
Adventurous-Ad660,-1,-1,-2
TristanTheRobloxian3,-1,-1,-2
enchanted-sorceress,-1,-1,-2
MyWeedAccount9,-1,-1,-2
Secret_Opinion7762,-1,-1,-2
greetings_imperial,-1,-1,-2
berrey7,-1,-1,-2
FickleCase8997,-1,-1,-2
TurbVisible,-1,-1,-2
Sticks_Downey,-1,-1,-2
Secret_Car_9319,-1,-1,-2
SweetSexiestJesus,-1,-1,-2
NeedsItRough,-1,-1,-2
Josephk_5690,-1,-1,-2
ForQ2,-1,-1,-2
heyyselene,-1,-1,-2
notarealperson319,-1,-1,-2
Fine_Palpitation9128,-1,-1,-2
Downtown_Passage4335,-1,-1,-2
Traditional_Law_3342,-1,-1,-2
AnAntWithWifi,-1,-1,-2
Sashique,-1,-1,-2
FlamingWhisk,-1,-1,-2
Rottenryebread,-1,-1,-2
Ready-Screen1426,-1,-1,-2
Smeows,-1,-1,-2
stanimal21,-1,-1,-2
ellab58,-1,-1,-2
Camille_Toh,-1,-1,-2
TuxAndrew,-1,-1,-2
ubfeo,-1,-1,-2
zaksdaddy,-1,-1,-2
Frosty_Builder7550,-1,-1,-2
Vegetable_Alarm1552,-1,-1,-2
